result_dir,summary_csv,benchmark_name,experiment_key,experiment_name,problem_kind,job_index,repeat,run_dir,problem,number_of_variables,number_of_eval,population_size,offspring_population_size,number_of_islands,topology,migrant_selection_strategy,migrant_acceptation_strategy,migration_interval,number_of_emigrants,island_result_count,best_final,mean_final,median_final,worst_final,std_final,mean_minus_median,outlier_count_robust,outlier_values_robust,winner_island,winner_reached_count,reported_average_result,reported_best_result,curve_file_count,first_step,last_step,global_best_start,global_best_end,global_best_improvement,first_step_global_best_le_1,first_step_global_best_le_0.1,first_step_global_best_le_0.01,convergence_start_best,convergence_end_best,convergence_improvement,convergence_eval_min,convergence_eval_max,auc_global_best_so_far,mean_global_best_so_far,best_at_25pct_budget,best_at_50pct_budget,best_at_75pct_budget,best_at_100pct_budget,eval_to_final_best,eval_to_25pct_improvement,eval_to_50pct_improvement,eval_to_75pct_improvement,eval_to_90pct_improvement,topology_edge_count_directed,topology_self_loops,topology_density_directed_no_self,topology_min_out_degree,topology_max_out_degree,topology_avg_out_degree,topology_min_in_degree,topology_max_in_degree,topology_avg_in_degree,topology_weak_component_count,topology_weak_component_sizes
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0011_more_continuous_c01_elliptic_complete_12_worst_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0011_more_continuous_c01_elliptic_complete_12_worst_r1/summary.csv,more_continuous_c01_elliptic_complete_12_worst_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,11,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0011 12wc-co20ilu2,c01_elliptic,30,1000,16,4,12,complete,worst,plain,20,2,12,160807268.8643623,170557184.49613076,169116578.22666204,185070936.51058137,8116660.442813825,1440606.2694687247,0,,10,1,170557184.49613076,160807268.8643623,12,1,246,642732785.5320613,160807268.8643623,481925516.66769904,,,,642732785.5320613,160807268.8643623,481925516.66769904,20.0,1000.0,304207042661.9208,310415349.6550212,418466716.7230503,267039166.66654563,195667528.1964234,160807268.8643623,992.0,100.0,280.0,448.0,684.0,132,0,1.0,11,11,11.0,11,11,11.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0012_more_continuous_c01_elliptic_complete_12_maxDistance_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0012_more_continuous_c01_elliptic_complete_12_maxDistance_r1/summary.csv,more_continuous_c01_elliptic_complete_12_maxDistance_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,12,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c01_30/j0012 12mc-co20ilu2,c01_elliptic,30,1000,16,4,12,complete,maxDistance,plain,20,2,12,22764116.567366768,24167055.059791893,24336211.305652544,25488733.65592013,807037.443708991,-169156.24586065114,0,,2,1,24167055.059791893,22764116.567366768,12,1,246,2014553783.1405015,22764116.567366768,1991789666.5731347,,,,2014553783.1405015,22764116.567366768,1991789666.5731347,20.0,1000.0,126658604245.60117,129243473.72000119,124758297.44172345,38529412.78964973,27866169.803227965,22764116.567366768,1000.0,28.0,28.0,96.0,140.0,132,0,1.0,11,11,11.0,11,11,11.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0013_more_continuous_c02_bent_cigar_ring_12_random_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0013_more_continuous_c02_bent_cigar_ring_12_random_r1/summary.csv,more_continuous_c02_bent_cigar_ring_12_random_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,13,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0013 12rr-co20ilu2,c02_bent_cigar,30,1000,16,4,12,ring,random,plain,20,2,12,388275361.2058991,4046049182.7817645,1784460757.1721258,19707411381.235466,5471773235.928933,2261588425.6096387,1,19707411381.2,2,1,4046049182.7817645,388275361.2058991,12,1,246,92566660585.529,388275361.2058991,92178385224.3231,,,,92566660585.529,388275361.2058991,92178385224.3231,20.0,1000.0,8242827072992.905,8411048033.66623,7052192408.846074,3038299062.678319,1218247286.3162403,388275361.2058991,968.0,36.0,52.0,128.0,212.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0014_more_continuous_c02_bent_cigar_ring_12_best_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0014_more_continuous_c02_bent_cigar_ring_12_best_r1/summary.csv,more_continuous_c02_bent_cigar_ring_12_best_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,14,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0014 12br-co20ilu2,c02_bent_cigar,30,1000,16,4,12,ring,best,plain,20,2,12,204932522.73235565,3724198828.226199,1472304332.130373,15278473032.901875,4327304152.612814,2251894496.095826,1,15278473032.9,0,1,3724198828.226199,204932522.73235565,12,1,246,79992004128.57507,204932522.73235565,79787071605.84271,,,,79992004128.57507,204932522.73235565,79787071605.84271,20.0,1000.0,8928045586781.09,9110250598.756214,10835658619.07112,2322795176.619907,931236006.9555213,204932522.73235565,1000.0,36.0,96.0,152.0,316.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0015_more_continuous_c02_bent_cigar_ring_12_worst_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0015_more_continuous_c02_bent_cigar_ring_12_worst_r1/summary.csv,more_continuous_c02_bent_cigar_ring_12_worst_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,15,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0015 12wr-co20ilu2,c02_bent_cigar,30,1000,16,4,12,ring,worst,plain,20,2,12,2295257413.3061213,5932607353.552254,4402454840.679677,17858196393.091118,4172669159.0006614,1530152512.8725767,1,17858196393.1,0,1,5932607353.552254,2295257413.3061213,12,1,246,77255524362.7799,2295257413.3061213,74960266949.47379,,,,77255524362.7799,2295257413.3061213,74960266949.47379,20.0,1000.0,13770982870452.428,14052023337.196354,15091015492.658596,9966896179.470812,4506327736.757654,2295257413.3061213,992.0,52.0,84.0,180.0,516.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0016_more_continuous_c02_bent_cigar_ring_12_maxDistance_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0016_more_continuous_c02_bent_cigar_ring_12_maxDistance_r1/summary.csv,more_continuous_c02_bent_cigar_ring_12_maxDistance_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,16,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0016 12mr-co20ilu2,c02_bent_cigar,30,1000,16,4,12,ring,maxDistance,plain,20,2,12,407923693.8269638,6339181737.721303,3400599849.7544727,26691041911.50789,7562803393.131988,2938581887.9668303,1,26691041911.5,2,1,6339181737.721303,407923693.8269638,12,1,246,91974961053.17767,407923693.8269638,91567037359.35071,,,,91974961053.17767,407923693.8269638,91567037359.35071,20.0,1000.0,9441477313981.941,9634160524.471369,12856069300.7594,4088538495.9926214,1444194981.1387303,407923693.8269638,1000.0,36.0,72.0,124.0,260.0,24,12,0.09090909090909091,2,2,2.0,2,2,2.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0017_more_continuous_c02_bent_cigar_torus_12_random_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0017_more_continuous_c02_bent_cigar_torus_12_random_r1/summary.csv,more_continuous_c02_bent_cigar_torus_12_random_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,17,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0017 12rt-co20ilu2,c02_bent_cigar,30,1000,16,4,12,torus,random,plain,20,2,12,86416337.94526266,203065104.00467712,159351849.10449195,546023175.8094565,120734699.6209236,43713254.90018517,1,546023175.809,8,1,203065104.00467712,86416337.94526266,12,1,246,80186556943.34639,86416337.94526266,80100140605.40112,,,,80186556943.34639,86416337.94526266,80100140605.40112,20.0,1000.0,8505279570978.401,8678856705.080002,11057427854.006975,2112119667.897291,546023175.8094565,86416337.94526266,988.0,40.0,88.0,152.0,304.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0018_more_continuous_c02_bent_cigar_torus_12_best_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0018_more_continuous_c02_bent_cigar_torus_12_best_r1/summary.csv,more_continuous_c02_bent_cigar_torus_12_best_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,18,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0018 12bt-co20ilu2,c02_bent_cigar,30,1000,16,4,12,torus,best,plain,20,2,12,90748765.48717648,219809702.40822136,223900381.58979127,365038579.74789613,89316045.3315857,-4090679.181569904,0,,6,1,219809702.40822136,90748765.48717648,12,1,246,68926421088.0768,90748765.48717648,68835672322.58961,,,,68926421088.0768,90748765.48717648,68835672322.58961,20.0,1000.0,6275459015929.844,6403529608.091678,6377832991.024706,2363486947.6238356,446292770.95577973,90748765.48717648,996.0,44.0,68.0,104.0,236.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0019_more_continuous_c02_bent_cigar_torus_12_worst_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0019_more_continuous_c02_bent_cigar_torus_12_worst_r1/summary.csv,more_continuous_c02_bent_cigar_torus_12_worst_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,19,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0019 12wt-co20ilu2,c02_bent_cigar,30,1000,16,4,12,torus,worst,plain,20,2,12,184489261.47804484,321588004.90012956,311581620.2674253,570358672.7268542,102259112.94283003,10006384.632704258,1,570358672.727,4,1,321588004.90012956,184489261.47804484,12,1,246,73529091223.28258,184489261.47804484,73344601961.80453,,,,73529091223.28258,184489261.47804484,73344601961.80453,20.0,1000.0,8107224192552.29,8272677747.5023365,8754851118.0027,3203559610.645189,868082037.135282,184489261.47804484,996.0,36.0,76.0,180.0,304.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0020_more_continuous_c02_bent_cigar_torus_12_maxDistance_r1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/more_local_matrix_computation/results/continous_fixed_toplogies/more_local_40bench_continuous_fixed_v1/j0020_more_continuous_c02_bent_cigar_torus_12_maxDistance_r1/summary.csv,more_continuous_c02_bent_cigar_torus_12_maxDistance_r1,continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,20,1,/home/maja/Studia/Magisterskie/Islands/islandsEA_student_fork/islands_desync/logs/more_local_40bench_continuous_fixed_v1/c02_30/j0020 12mt-co20ilu2,c02_bent_cigar,30,1000,16,4,12,torus,maxDistance,plain,20,2,12,62946823.819246165,116357746.59939773,111750775.90110162,187435410.989983,37597953.1922809,4606970.698296115,0,,6,1,116357746.59939773,62946823.819246165,12,1,246,60438655223.69029,62946823.819246165,60375708399.87105,,,,60438655223.69029,62946823.819246165,60375708399.87105,20.0,1000.0,7923465633007.898,8085169013.273366,9923694981.255234,1749312085.0835876,372709888.0822761,62946823.819246165,992.0,64.0,120.0,208.0,332.0,48,24,0.18181818181818182,4,4,4.0,4,4,4.0,1,12
