experiment_key,experiment_name,problem_kind,problem,number_of_variables,number_of_eval,number_of_islands,topology,migrant_selection_strategy,migrant_acceptation_strategy,migration_interval,number_of_emigrants,run_count,repeat_values,complete_three_repeats,best_final_mean,best_final_std,best_final_min,best_final_max,mean_final_mean,mean_final_std,mean_final_min,mean_final_max,median_final_mean,median_final_std,median_final_min,median_final_max,worst_final_mean,worst_final_std,worst_final_min,worst_final_max,std_final_mean,std_final_std,std_final_min,std_final_max,global_best_end_mean,global_best_end_std,global_best_end_min,global_best_end_max,global_best_improvement_mean,global_best_improvement_std,global_best_improvement_min,global_best_improvement_max,last_step_mean,last_step_std,last_step_min,last_step_max,convergence_improvement_mean,convergence_improvement_std,convergence_improvement_min,convergence_improvement_max,auc_global_best_so_far_mean,auc_global_best_so_far_std,auc_global_best_so_far_min,auc_global_best_so_far_max,mean_global_best_so_far_mean,mean_global_best_so_far_std,mean_global_best_so_far_min,mean_global_best_so_far_max,best_at_25pct_budget_mean,best_at_25pct_budget_std,best_at_25pct_budget_min,best_at_25pct_budget_max,best_at_50pct_budget_mean,best_at_50pct_budget_std,best_at_50pct_budget_min,best_at_50pct_budget_max,best_at_75pct_budget_mean,best_at_75pct_budget_std,best_at_75pct_budget_min,best_at_75pct_budget_max,best_at_100pct_budget_mean,best_at_100pct_budget_std,best_at_100pct_budget_min,best_at_100pct_budget_max,eval_to_25pct_improvement_mean,eval_to_25pct_improvement_std,eval_to_25pct_improvement_min,eval_to_25pct_improvement_max,eval_to_50pct_improvement_mean,eval_to_50pct_improvement_std,eval_to_50pct_improvement_min,eval_to_50pct_improvement_max,eval_to_75pct_improvement_mean,eval_to_75pct_improvement_std,eval_to_75pct_improvement_min,eval_to_75pct_improvement_max,eval_to_90pct_improvement_mean,eval_to_90pct_improvement_std,eval_to_90pct_improvement_min,eval_to_90pct_improvement_max,eval_to_final_best_mean,eval_to_final_best_std,eval_to_final_best_min,eval_to_final_best_max,strategy_rank_by_eval_to_90pct_improvement_mean,ranked_factor,ranked_metric
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,ring,best,plain,20,2,1,1,False,35750839.70883921,0,35750839.70883921,35750839.70883921,105949620.00841752,0,105949620.00841752,105949620.00841752,50674099.95981047,0,50674099.95981047,50674099.95981047,366760626.0435522,0,366760626.0435522,366760626.0435522,116009168.93376006,0,116009168.93376006,116009168.93376006,35750839.70883921,0,35750839.70883921,35750839.70883921,2184796385.12992,0,2184796385.12992,2184796385.12992,246.0,0,246.0,246.0,2184796385.12992,0,2184796385.12992,2184796385.12992,151078751570.09454,0,151078751570.09454,151078751570.09454,154161991.39805564,0,154161991.39805564,154161991.39805564,180139316.98156264,0,180139316.98156264,180139316.98156264,65555519.46731117,0,65555519.46731117,65555519.46731117,43420786.44170621,0,43420786.44170621,43420786.44170621,35750839.70883921,0,35750839.70883921,35750839.70883921,28.0,0,28.0,28.0,32.0,0,32.0,32.0,52.0,0,52.0,52.0,172.0,0,172.0,172.0,992.0,0,992.0,992.0,1,best,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,ring,worst,plain,20,2,1,1,False,65210521.75304531,0,65210521.75304531,65210521.75304531,139581178.75909594,0,139581178.75909594,139581178.75909594,72766196.46574183,0,72766196.46574183,72766196.46574183,485062856.3092744,0,485062856.3092744,485062856.3092744,139400899.21716556,0,139400899.21716556,139400899.21716556,65210521.75304531,0,65210521.75304531,65210521.75304531,972696366.8801707,0,972696366.8801707,972696366.8801707,246.0,0,246.0,246.0,972696366.8801707,0,972696366.8801707,972696366.8801707,175285667039.4457,0,175285667039.4457,175285667039.4457,178862925.5504548,0,178862925.5504548,178862925.5504548,192205251.6239358,0,192205251.6239358,192205251.6239358,102204913.49217659,0,102204913.49217659,102204913.49217659,75803238.28140628,0,75803238.28140628,75803238.28140628,65210521.75304531,0,65210521.75304531,65210521.75304531,44.0,0,44.0,44.0,68.0,0,68.0,68.0,176.0,0,176.0,176.0,324.0,0,324.0,324.0,968.0,0,968.0,968.0,2,worst,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,ring,random,plain,20,2,1,1,False,50296263.51294618,0,50296263.51294618,50296263.51294618,113594238.08836484,0,113594238.08836484,113594238.08836484,102673586.76418428,0,102673586.76418428,102673586.76418428,233243628.13660508,0,233243628.13660508,233243628.13660508,64342815.174068525,0,64342815.174068525,64342815.174068525,50296263.51294618,0,50296263.51294618,50296263.51294618,727136555.1714103,0,727136555.1714103,727136555.1714103,246.0,0,246.0,246.0,727136555.1714103,0,727136555.1714103,727136555.1714103,172032539927.1126,0,172032539927.1126,172032539927.1126,175543408.0888904,0,175543408.0888904,175543408.0888904,267491728.97007945,0,267491728.97007945,267491728.97007945,106830595.93886566,0,106830595.93886566,106830595.93886566,62351420.60433584,0,62351420.60433584,62351420.60433584,50296263.51294618,0,50296263.51294618,50296263.51294618,60.0,0,60.0,60.0,112.0,0,112.0,112.0,272.0,0,272.0,272.0,428.0,0,428.0,428.0,984.0,0,984.0,984.0,3,random,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,ring,maxDistance,plain,20,2,1,1,False,102210697.56718302,0,102210697.56718302,102210697.56718302,117264642.59718554,0,117264642.59718554,117264642.59718554,116003079.9864347,0,116003079.9864347,116003079.9864347,148035071.426581,0,148035071.426581,148035071.426581,11039758.745775957,0,11039758.745775957,11039758.745775957,102210697.56718302,0,102210697.56718302,102210697.56718302,730551226.4033115,0,730551226.4033115,730551226.4033115,246.0,0,246.0,246.0,730551226.4033115,0,730551226.4033115,730551226.4033115,247386252525.00723,0,247386252525.00723,247386252525.00723,252434951.55612984,0,252434951.55612984,252434951.55612984,309305954.54215,0,309305954.54215,309305954.54215,202574662.2679336,0,202574662.2679336,202574662.2679336,150294010.24819693,0,150294010.24819693,150294010.24819693,102210697.56718302,0,102210697.56718302,102210697.56718302,88.0,0,88.0,88.0,92.0,0,92.0,92.0,272.0,0,272.0,272.0,632.0,0,632.0,632.0,1000.0,0,1000.0,1000.0,4,maxDistance,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,torus,best,plain,20,2,1,1,False,54523197.84603547,0,54523197.84603547,54523197.84603547,63509131.78818261,0,63509131.78818261,63509131.78818261,62723038.96412966,0,62723038.96412966,62723038.96412966,74646112.55644573,0,74646112.55644573,74646112.55644573,6156819.066007763,0,6156819.066007763,6156819.066007763,54523197.84603547,0,54523197.84603547,54523197.84603547,1949934814.0283332,0,1949934814.0283332,1949934814.0283332,246.0,0,246.0,246.0,1949934814.0283332,0,1949934814.0283332,1949934814.0283332,191966341434.0823,0,191966341434.0823,191966341434.0823,195884021.87151256,0,195884021.87151256,195884021.87151256,225095321.35010698,0,225095321.35010698,225095321.35010698,128398481.29219534,0,128398481.29219534,128398481.29219534,75676909.12909977,0,75676909.12909977,75676909.12909977,54523197.84603547,0,54523197.84603547,54523197.84603547,24.0,0,24.0,24.0,48.0,0,48.0,48.0,80.0,0,80.0,80.0,220.0,0,220.0,220.0,992.0,0,992.0,992.0,1,best,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,torus,random,plain,20,2,1,1,False,81092813.8912896,0,81092813.8912896,81092813.8912896,88706109.16498762,0,88706109.16498762,88706109.16498762,89320643.44271986,0,89320643.44271986,89320643.44271986,95081562.14073183,0,95081562.14073183,95081562.14073183,4412073.798444214,0,4412073.798444214,4412073.798444214,81092813.8912896,0,81092813.8912896,81092813.8912896,1537279618.1883528,0,1537279618.1883528,1537279618.1883528,246.0,0,246.0,246.0,1537279618.1883528,0,1537279618.1883528,1537279618.1883528,229651641951.9862,0,229651641951.9862,229651641951.9862,234338410.15508798,0,234338410.15508798,234338410.15508798,246158405.20528167,0,246158405.20528167,246158405.20528167,125532163.82865883,0,125532163.82865883,125532163.82865883,100249807.11507857,0,100249807.11507857,100249807.11507857,81092813.8912896,0,81092813.8912896,81092813.8912896,36.0,0,36.0,36.0,68.0,0,68.0,68.0,144.0,0,144.0,144.0,268.0,0,268.0,268.0,1000.0,0,1000.0,1000.0,2,random,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,torus,maxDistance,plain,20,2,1,1,False,49785767.9146789,0,49785767.9146789,49785767.9146789,52813224.493065454,0,52813224.493065454,52813224.493065454,53310655.45885485,0,53310655.45885485,53310655.45885485,55435987.54904339,0,55435987.54904339,55435987.54904339,1911970.1187824635,0,1911970.1187824635,1911970.1187824635,49785767.9146789,0,49785767.9146789,49785767.9146789,1639722642.1289387,0,1639722642.1289387,1639722642.1289387,246.0,0,246.0,246.0,1639722642.1289387,0,1639722642.1289387,1639722642.1289387,171150743672.3649,0,171150743672.3649,171150743672.3649,174643615.99220908,0,174643615.99220908,174643615.99220908,253707122.2480671,0,253707122.2480671,253707122.2480671,66145874.4980019,0,66145874.4980019,66145874.4980019,52746924.329027764,0,52746924.329027764,52746924.329027764,49785767.9146789,0,49785767.9146789,49785767.9146789,36.0,0,36.0,36.0,52.0,0,52.0,52.0,96.0,0,96.0,96.0,296.0,0,296.0,296.0,996.0,0,996.0,996.0,3,maxDistance,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,torus,worst,plain,20,2,1,1,False,134113901.51663952,0,134113901.51663952,134113901.51663952,151690617.4404447,0,151690617.4404447,151690617.4404447,151039140.18277287,0,151039140.18277287,151039140.18277287,170804803.2544709,0,170804803.2544709,170804803.2544709,11693864.748896439,0,11693864.748896439,11693864.748896439,134113901.51663952,0,134113901.51663952,134113901.51663952,1424090565.91219,0,1424090565.91219,1424090565.91219,246.0,0,246.0,246.0,1424090565.91219,0,1424090565.91219,1424090565.91219,267279656737.5542,0,267279656737.5542,267279656737.5542,272734343.6097492,0,272734343.6097492,272734343.6097492,339734202.4926292,0,339734202.4926292,339734202.4926292,223202859.45219716,0,223202859.45219716,223202859.45219716,172709525.7727464,0,172709525.7727464,172709525.7727464,134113901.51663952,0,134113901.51663952,134113901.51663952,36.0,0,36.0,36.0,36.0,0,36.0,36.0,48.0,0,48.0,48.0,360.0,0,360.0,360.0,996.0,0,996.0,996.0,4,worst,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,complete,maxDistance,plain,20,2,1,1,False,22764116.567366768,0,22764116.567366768,22764116.567366768,24167055.059791893,0,24167055.059791893,24167055.059791893,24336211.305652544,0,24336211.305652544,24336211.305652544,25488733.65592013,0,25488733.65592013,25488733.65592013,807037.443708991,0,807037.443708991,807037.443708991,22764116.567366768,0,22764116.567366768,22764116.567366768,1991789666.5731347,0,1991789666.5731347,1991789666.5731347,246.0,0,246.0,246.0,1991789666.5731347,0,1991789666.5731347,1991789666.5731347,126658604245.60117,0,126658604245.60117,126658604245.60117,129243473.72000119,0,129243473.72000119,129243473.72000119,124758297.44172345,0,124758297.44172345,124758297.44172345,38529412.78964973,0,38529412.78964973,38529412.78964973,27866169.803227965,0,27866169.803227965,27866169.803227965,22764116.567366768,0,22764116.567366768,22764116.567366768,28.0,0,28.0,28.0,28.0,0,28.0,28.0,96.0,0,96.0,96.0,140.0,0,140.0,140.0,1000.0,0,1000.0,1000.0,1,maxDistance,eval_to_90pct_improvement_mean
continous_fixed_toplogies,more_local_40bench_continuous_fixed_v1,continuous,c01_elliptic,30,1000,12,complete,best,plain,20,2,1,1,False,25850858.69963021,0,25850858.69963021,25850858.69963021,32377415.267029032,0,32377415.267029032,32377415.267029032,33141653.831687458,0,33141653.831687458,33141653.831687458,36221548.02710768,0,36221548.02710768,36221548.02710768,2925678.6084209117,0,2925678.6084209117,2925678.6084209117,25850858.69963021,0,25850858.69963021,25850858.69963021,1597736854.4292274,0,1597736854.4292274,1597736854.4292274,246.0,0,246.0,246.0,1597736854.4292274,0,1597736854.4292274,1597736854.4292274,132003409582.11194,0,132003409582.11194,132003409582.11194,134697356.71644077,0,134697356.71644077,134697356.71644077,145048222.0101528,0,145048222.0101528,145048222.0101528,68597642.31692114,0,68597642.31692114,68597642.31692114,38728793.268481724,0,38728793.268481724,38728793.268481724,25850858.69963021,0,25850858.69963021,25850858.69963021,28.0,0,28.0,28.0,44.0,0,44.0,44.0,92.0,0,92.0,92.0,180.0,0,180.0,180.0,996.0,0,996.0,996.0,2,best,eval_to_90pct_improvement_mean
